ID,Diver,Buddy,Site No.,Site Name,Latitude,Longitude,Date,vis,Direction,Time,P-Qs,Depth,Method,Block,Code,Species,Common name,Total,Inverts,2.5,5,7.5,10,12.5,15,20,25,30,35,40,50,62.5,75,87.5,100,112.5,125,137.5,150,162.5,175,187.5,200,250,300,350,400,,,,,,,,,,,,,,,,,,,,
15,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,pbe,Pagurus beringanus,Bering hermit crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,poc,Pisaster ochraceus,Purple sea star,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,dim,Dermasterias imbricata,Leather star,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,sdr,Strongylocentrotus droebachiensis,Northern sea urchin,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,spu,Strongylocentrotus purpuratus,Purple sea urchin (?),1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,das,Diodora aspera,Rough keyhole limpet,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,opi,Oxylebius pictus,Painted greenling,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,gor,Glebocarcinus oregonensis,Pygmy rock crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,pcau,Pagurus caurinus,Greenmark hermit crab,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Em Lim,Isabelle Côté,BMSC8,Baeria Rocks North Island Northside,48.95508194,-125.1533737,22/04/2024,1.5,SE,10:12,EGL,8.5,2,2,dez,Debris - Zero,No Debris found,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,1,2,sca,Sebastes caurinus,Copper rockfish,1,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,1,2,rni,Rhinogobiops nicholsii,Blackeye goby,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,1,2,oel,Ophiodon elongatus,Lingcod,2,0,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,1,2,aoc,Anarrhichthys ocellatus,Wolf-eel,2,0,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,1,2,hde,Hexagrammos decagrammus,Kelp greenling,1,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,1,2,sma,Sebastes maliger,Quillback rockfish,2,0,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,1,2,ela,Embiotoca lateralis,Striped seaperch,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,mfra,Mesocentrotus franciscanus,Red sea urchin,181,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,aca,Apostichopus californicus,California sea cucumber,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,rni,Rhinogobiops nicholsii,Blackeye goby,9,0,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,hka,Haliotis kamtschatkana,Pinto abalone,21,0,15,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,pmi,Patiria miniata,Bat star,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,ami,Acmaea mitra,Whitecap limpet,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,jzo,Jordania zonope,Longfin sculpin,4,0,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,sac,Scyra acutifrons,Sharpnose crab,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,cfo,Ceratostoma foliatum,Leafy hornmouth,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,cgi,Crassadoma gigantea,Purple-hinged rock scallop,3,0,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,phem,Pagurus hemphilli,Maroon hermit,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,oko,Orthasterias koehleri,Rainbow star,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,das,Diodora aspera,Rough keyhole limpet,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,opi,Oxylebius pictus,Painted greenling,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,hcr,Hermissenda crassicornis,Opalescent nudibranch,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,0,2,sne,Sebastes nebulosus,China rockfish,1,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,henricia,Henricia spp.,Unidentified blood star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,pcau,Pagurus caurinus,Greenmark hermit crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,pgi,Pomaulax gibberosus,Red turban shell,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,dim,Dermasterias imbricata,Leather star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,aha,Artedius harringtoni,Scalyhead sculpin,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,sma,Scorpaenichthys marmoratus,Cabezon,1,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,tfe,Tritonia festiva,Diamondback tritonia,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,pbe,Pagurus beringanus,Bering hermit crab,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,hermit,Paguroidea spp.,Unidentified hermit crab,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Em Lim,Isabelle Côté,BMSC6,Baeria Rocks South Island,48.95023346,-125.1555481,22/04/2024,1.5,SW,12:45,EGL,11,2,2,dez,Debris - Zero,No Debris found,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,1,2,ebi,Enophrys bison,Buffalo sculpin,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,1,2,rni,Rhinogobiops nicholsii,Blackeye goby,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,mfra,Mesocentrotus franciscanus,Red sea urchin,169,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,hcr,Hermissenda crassicornis,Opalescent nudibranch,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,cfo,Ceratostoma foliatum,Leafy hornmouth,64,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,pmi,Patiria miniata,Bat star,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,cgi,Crassadoma gigantea,Purple-hinged rock scallop,24,0,,1,4,9,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,hka,Haliotis kamtschatkana,Pinto abalone,13,0,1,3,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,henricia,Henricia spp.,Unidentified blood star,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,dim,Dermasterias imbricata,Leather star,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,pgi,Pomaulax gibberosus,Red turban shell,83,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,etr,Evasterias troschelii,Mottled starfish,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,aha,Artedius harringtoni,Scalyhead sculpin,6,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,sac,Scyra acutifrons,Sharpnose crab,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,ami,Acmaea mitra,Whitecap limpet,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,ata,Asemichthys taylori,Spinynose sculpin,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,rni,Rhinogobiops nicholsii,Blackeye goby,19,0,4,10,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,aca,Apostichopus californicus,California sea cucumber,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,oko,Orthasterias koehleri,Rainbow star,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,cpr,Cancer productus,Red rock crab,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,lcoc,Limacia cockerelli,Cockerell's dorid,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,gor,Glebocarcinus oregonensis,Pygmy rock crab,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,tca,Triopha catalinae,Sea-clown triopha,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Em Lim,Isabelle Côté,BMSC5,Taylor Rock,48.82733154,-125.1966019,23/04/2024,1.5,E,9:50,EGL,6.5,2,2,dez,Debris - Zero,No Debris found,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Em Lim,Isabelle Côté,BMSC9,Eagle Bay,48.83478928,-125.1470261,23/04/2024,2,SW,12:36,EGL,6.5,1,2,rni,Rhinogobiops nicholsii,Blackeye goby,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Em Lim,Isabelle Côté,BMSC9,Eagle Bay,48.83478928,-125.1470261,23/04/2024,2,SW,12:36,EGL,6.5,1,2,hde,Hexagrammos decagrammus,Kelp greenling,5,0,,,,,,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Em Lim,Isabelle Côté,BMSC9,Eagle Bay,48.83478928,-125.1470261,23/04/2024,2,SW,12:36,EGL,6.5,1,2,sme,Sebastes melanops,Black rockfish,4,0,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Em Lim,Isabelle Côté,BMSC9,Eagle Bay,48.83478928,-125.1470261,23/04/2024,2,SW,12:36,EGL,6.5,1,2,sma,Sebastes maliger,Quillback rockfish,1,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Em Lim,Isabelle Côté,BMSC9,Eagle Bay,48.83478928,-125.1470261,23/04/2024,2,SW,12:36,EGL,6.5,1,2,opi,Oxylebius pictus,Painted greenling,1,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Em Lim,Isabelle Côté,BMSC9,Eagle Bay,48.83478928,-125.1470261,23/04/2024,2,SW,12:36,EGL,6.5,2,2,mfra,Mesocentrotus franciscanus,Red sea urchin,108,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Em Lim,Isabelle Côté,BMSC9,Eagle Bay,48.83478928,-125.1470261,23/04/2024,2,SW,12:36,EGL,6.5,2,2,pmi,Patiria miniata,Bat star,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Em Lim,Isabelle Côté,BMSC9,Eagle Bay,48.83478928,-125.1470261,23/04/2024,2,SW,12:36,EGL,6.5,2,2,hka,Haliotis kamtschatkana,Pinto abalone,53,0,26,14,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
